"stim_id","twister","exp_cond","cb_cond","vowel","crit_cons"
997,"haf mag sang nak","coda","AE->F; IH->S","AE","FS"
2805,"gak hang maf nass","coda","AE->F; IH->S","AE","FS"
1036,"naf sak hang gam","coda","AE->F; IH->S","AE","FS"
9,"kaf mag hang nass","coda","AE->F; IH->S","AE","FS"
2710,"haf gass mang kan","coda","AE->F; IH->S","AE","FS"
148,"mang naf kag hass","coda","AE->F; IH->S","AE","FS"
2346,"mang naf hag kass","coda","AE->F; IH->S","AE","FS"
2976,"maf nang sag hak","coda","AE->F; IH->S","AE","FS"
582,"gam naf hass kang","coda","AE->F; IH->S","AE","FS"
444,"mang kan sag haf","coda","AE->F; IH->S","AE","FS"
2053,"nag mang haf kass","coda","AE->F; IH->S","AE","FS"
331,"haf man sang kag","coda","AE->F; IH->S","AE","FS"
35,"kiss nif hing ghim","coda","AE->F; IH->S","IH","FS"
2481,"min kif hing ghiss","coda","AE->F; IH->S","IH","FS"
220,"hing ghif niss kim","coda","AE->F; IH->S","IH","FS"
1192,"ming kiss hin ghif","coda","AE->F; IH->S","IH","FS"
987,"hik ghing miss fin","coda","AE->F; IH->S","IH","FS"
1596,"hing mik niss fig","coda","AE->F; IH->S","IH","FS"
2695,"nif ghik hiss ming","coda","AE->F; IH->S","IH","FS"
966,"min king hig fiss","coda","AE->F; IH->S","IH","FS"
497,"nik fing hiss mig","coda","AE->F; IH->S","IH","FS"
149,"mik ning hiss fig","coda","AE->F; IH->S","IH","FS"
2059,"ning him fiss kig","coda","AE->F; IH->S","IH","FS"
2536,"ghin fik hing miss","coda","AE->F; IH->S","IH","FS"
1666,"ghing nif miss hik","coda","AE->F; IH->S","IH","FS"
1485,"hin kim ghiss fing","coda","AE->F; IH->S","IH","FS"
1197,"fig hik ming niss","coda","AE->F; IH->S","IH","FS"
1357,"nim ghiss kif hing","coda","AE->F; IH->S","IH","FS"
195,"fing mik hin ghiss","coda","AE->F; IH->S","IH","FS"
270,"miss ghif kin hing","coda","AE->F; IH->S","IH","FS"
2632,"fig niss hing mik","coda","AE->F; IH->S","IH","FS"
863,"fiss hig ming nik","coda","AE->F; IH->S","IH","FS"
79,"mig nif hiss king","coda","AE->F; IH->S","IH","FS"
227,"him kin ghiss fing","coda","AE->F; IH->S","IH","FS"
2257,"ming hif niss kig","coda","AE->F; IH->S","IH","FS"
2004,"hing fiss kin mig","coda","AE->F; IH->S","IH","FS"
648,"fing ghim kiss hin","coda","AE->F; IH->S","IH","FS"
2256,"ghim kiss ning hif","coda","AE->F; IH->S","IH","FS"
295,"hiss king fin mig","coda","AE->F; IH->S","IH","FS"
2693,"ghif kiss hing min","coda","AE->F; IH->S","IH","FS"
788,"king fig hiss min","coda","AE->F; IH->S","IH","FS"
910,"hin fik ming ghiss","coda","AE->F; IH->S","IH","FS"
2279,"nim fing hiss ghik","coda","AE->F; IH->S","IH","FS"
975,"hig king fin miss","coda","AE->F; IH->S","IH","FS"
1095,"hing fin ghik miss","coda","AE->F; IH->S","IH","FS"
473,"ghif nik hing miss","coda","AE->F; IH->S","IH","FS"
2439,"hik fing ghiss nim","coda","AE->F; IH->S","IH","FS"
995,"fiss him kig ning","coda","AE->F; IH->S","IH","FS"
2407,"miss hig ning fik","coda","AE->F; IH->S","IH","FS"
2174,"ghim fiss kin hing","coda","AE->F; IH->S","IH","FS"
2487,"kiss ming fin hig","coda","AE->F; IH->S","IH","FS"
2635,"him ghif ning kiss","coda","AE->F; IH->S","IH","FS"
130,"hing kig fin miss","coda","AE->F; IH->S","IH","FS"
