"stim_id","twister","exp_cond","cb_cond","vowel","exp_idx"
2346,"mang naf hag kass","coda","AE->F; IH->S","AE",1
2976,"maf nang sag hak","coda","AE->F; IH->S","AE",1
582,"gam naf hass kang","coda","AE->F; IH->S","AE",1
444,"mang kan sag haf","coda","AE->F; IH->S","AE",1
2053,"nag mang haf kass","coda","AE->F; IH->S","AE",1
331,"haf man sang kag","coda","AE->F; IH->S","AE",1
35,"kiss nif hing ghim","coda","AE->F; IH->S","IH",1
2481,"min kif hing ghiss","coda","AE->F; IH->S","IH",1
220,"hing ghif niss kim","coda","AE->F; IH->S","IH",1
1192,"ming kiss hin ghif","coda","AE->F; IH->S","IH",1
987,"hik ghing miss fin","coda","AE->F; IH->S","IH",1
1596,"hing mik niss fig","coda","AE->F; IH->S","IH",1
2695,"nif ghik hiss ming","coda","AE->F; IH->S","IH",1
966,"min king hig fiss","coda","AE->F; IH->S","IH",1
497,"nik fing hiss mig","coda","AE->F; IH->S","IH",1
149,"mik ning hiss fig","coda","AE->F; IH->S","IH",1
2059,"ning him fiss kig","coda","AE->F; IH->S","IH",1
2536,"ghin fik hing miss","coda","AE->F; IH->S","IH",1
1666,"ghing nif miss hik","coda","AE->F; IH->S","IH",1
1485,"hin kim ghiss fing","coda","AE->F; IH->S","IH",1
1197,"fig hik ming niss","coda","AE->F; IH->S","IH",1
1357,"nim ghiss kif hing","coda","AE->F; IH->S","IH",1
195,"fing mik hin ghiss","coda","AE->F; IH->S","IH",1
270,"miss ghif kin hing","coda","AE->F; IH->S","IH",1
2632,"fig niss hing mik","coda","AE->F; IH->S","IH",1
863,"fiss hig ming nik","coda","AE->F; IH->S","IH",1
79,"mig nif hiss king","coda","AE->F; IH->S","IH",1
227,"him kin ghiss fing","coda","AE->F; IH->S","IH",1
2257,"ming hif niss kig","coda","AE->F; IH->S","IH",1
2004,"hing fiss kin mig","coda","AE->F; IH->S","IH",1
648,"fing ghim kiss hin","coda","AE->F; IH->S","IH",1
2256,"ghim kiss ning hif","coda","AE->F; IH->S","IH",1
295,"hiss king fin mig","coda","AE->F; IH->S","IH",1
2693,"ghif kiss hing min","coda","AE->F; IH->S","IH",1
788,"king fig hiss min","coda","AE->F; IH->S","IH",1
